"Specific Product Standard","Product","Quality","Form","Country / Region","Producer Scope","Price level (INCOTERMS)","Currency / Unit","Fairtrade minimum price","Fairtrade premium","Date of validity","Product specific information"
"Cane sugar","Cane sugar","Conventional","by-products","Worldwide","SPO","FOB","-","Commercial price","15% of the commercial price","12/Mar/09",""
"Cane sugar","Cane sugar","Conventional","Raw sugar (for direct consumption)","Worldwide","SPO","FOB","USD/MT","Commercial price","60","1/Oct/09",""
"Cane sugar","Cane sugar","Conventional","Raw sugar for refining (not for direct consumption)","Worldwide","SPO","FOB","USD/MT","Commercial price","60","1/Oct/09",""
"Cane sugar","Cane sugar","Conventional","White and refined sugar","Worldwide","SPO","FOB","USD/MT","Commercial price","60","1/Oct/09",""
"Cane sugar","Cane sugar","Conventional","Whole cane sugar","Worldwide","SPO","FOB","USD/MT","Commercial price","60","1/Oct/09",""
"Cane sugar","Cane sugar","Organic","by-products","Worldwide","SPO","FOB","-","Commercial price","15% of the commercial price","12/Mar/09",""
"Cane sugar","Cane sugar","Organic","Raw centrifugal sugar (for direct consumption)","Worldwide","SPO","FOB","USD/MT","Commercial price","80","1/Oct/09",""
"Cane sugar","Cane sugar","Organic","Whole cane sugar","Worldwide","SPO","FOB","USD/MT","Commercial price","80","1/Oct/09",""
"Cereals","Amaranth","Conventional","grain; grown in rotation with rice or cotton","India","CP","EXW","-","Commercial price","15% of the commercial price","1/Dec/16",""
"Cereals","Amaranth","Conventional","grain","Worldwide","SPO","EXW","-","Commercial price","15% of the commercial price","1/Dec/16",""
"Cereals","Amaranth","Organic","grain; grown in rotation with rice or cotton","India","CP","EXW","-","Commercial price","15% of the commercial price","1/Dec/16",""
"Cereals","Amaranth","Organic","grain","Worldwide","SPO","EXW","-","Commercial price","15% of the commercial price","1/Dec/16",""
"Cereals","Fonio","Conventional","","Western Africa","SPO","EXW","EUR/MT","1100","100","11/Jan/07",""
"Cereals","Fonio","Conventional","","Western Africa","SPO","FOB","EUR/MT","1200","100","11/Jan/07",""
"Cereals","Fonio","Organic","","Western Africa","SPO","EXW","EUR/MT","1250","100","11/Jan/07",""
"Cereals","Fonio","Organic","","Western Africa","SPO","FOB","EUR/MT","1350","100","11/Jan/07",""
"Cereals","Millet","Conventional","dried grain; group of small-seeded grasses","Worldwide","SPO","EXW","-","Commercial price","15% of the commercial price","29/Jan/18",""
"Cereals","Millet","Organic","dried grain; group of small-seeded grasses","Worldwide","SPO","EXW","-","Commercial price","15% of the commercial price","29/Jan/18",""
"Cereals","Quinoa","Conventional","processed (rinsed from saponine)","South America","SPO","FOB","USD/MT","2250","260","1/Apr/12","at least 30% of the FP to be invested in environmental sustainability"
"Cereals","Quinoa","Organic","processed (rinsed from saponine)","South America","SPO","FOB","USD/MT","2600","260","1/Apr/12","at least 30% of the FP to be invested in environmental sustainability"
"Cereals","Rice","Conventional","Basmati Pusa; paddy","India","SPO / CP","EXW","EUR/MT","185","27","1/Feb/15",""
"Cereals","Rice","Conventional","Basmati Pusa; paddy","Pakistan","SPO","EXW","EUR/MT","185","27","20/Mar/17",""
"Cereals","Rice","Conventional","Basmati Traditional; paddy","India","SPO / CP","EXW","EUR/MT","333","41","1/Feb/15",""
"Cereals","Rice","Conventional","Basmati Traditional; paddy","Pakistan","SPO","EXW","EUR/MT","333","41","20/Mar/17",""
"Cereals","Rice","Conventional","Burmese aromatic long grain rice; paddy","Myanmar","SPO","EXW","MMK/MT","506879","30709","23/Sep/16",""
"Cereals","Rice","Conventional","Cambodian aromatic long grain rice; paddy","Cambodia","SPO","EXW","KHR/MT","1670619","101214","23/Sep/16",""
"Cereals","Rice","Conventional","Giza; paddy","Egypt","SPO","EXW","EUR/MT","125","15","26/Jan/04",""
"Cereals","Rice","Conventional","glutinous (or sticky) black; paddy","Thailand","SPO","EXW","THB/MT","14360","870","1/Jun/12",""
"Cereals","Rice","Conventional","glutinous (or sticky) red; paddy","Thailand","SPO","EXW","THB/MT","14360","870","23/Mar/16",""
"Cereals","Rice","Conventional","glutinous (or sticky) violet; paddy","Thailand","SPO","EXW","THB/MT","14360","870","1/Jun/12",""
"Cereals","Rice","Conventional","glutinous (or sticky) white; paddy","Laos","SPO","EXW","LAK/kg","1500","200","10/Feb/06",""
"Cereals","Rice","Conventional","glutinous (or sticky) white; paddy","Thailand","SPO","EXW","THB/MT","11749","870","1/Jun/12",""
"Cereals","Rice","Conventional","Non-Basmati and non-Sarbati; paddy","India","SPO / CP","EXW","EUR/MT","170","27","1/Jan/20",""
"Cereals","Rice","Conventional","Non-Basmati and non-Sarbati; paddy","Pakistan","SPO","EXW","EUR/MT","170","27","1/Jan/20",""
"Cereals","Rice","Conventional","non-glutinous black; paddy","Thailand","SPO","EXW","THB/MT","14360","870","23/Mar/16",""
"Cereals","Rice","Conventional","non-glutinous red; paddy","Thailand","SPO","EXW","THB/MT","14360","870","1/Jun/12",""
"Cereals","Rice","Conventional","Sakha; paddy","Egypt","SPO","EXW","EUR/MT","125","15","26/Jan/04",""
"Cereals","Rice","Conventional","Sarbati; paddy","India","SPO / CP","EXW","EUR/MT","176","23","1/Feb/15",""
"Cereals","Rice","Conventional","Thai Hom Mali (Jasmine); paddy","Thailand","SPO","EXW","THB/MT","14360","870","1/Jun/12",""
"Cereals","Rice","Conventional","Thai long grain; paddy","Thailand","SPO","EXW","THB/MT","9399","870","1/Jun/12",""
"Cereals","Rice","Organic","Basmati Pusa; paddy","India","SPO / CP","EXW","EUR/MT","212","27","1/Feb/15",""
"Cereals","Rice","Organic","Basmati Pusa; paddy","Pakistan","SPO","EXW","EUR/MT","212","27","20/Mar/17",""
"Cereals","Rice","Organic","Basmati Traditional; paddy","India","SPO / CP","EXW","EUR/MT","361","41","1/Feb/15",""
"Cereals","Rice","Organic","Basmati Traditional; paddy","Pakistan","SPO","EXW","EUR/MT","361","41","20/Mar/17",""
"Cereals","Rice","Organic","Burmese aromatic long grain rice; paddy","Myanmar","SPO","EXW","MMK/MT","552943","30709","23/Sep/16",""
"Cereals","Rice","Organic","Cambodian aromatic long grain rice; paddy","Cambodia","SPO","EXW","KHR/MT","1822440","101214","23/Sep/16",""
"Cereals","Rice","Organic","Giza; paddy","Egypt","SPO","EXW","EUR/MT","152","15","26/Jan/04",""
"Cereals","Rice","Organic","glutinous (or sticky) black; paddy","Thailand","SPO","EXW","THB/MT","15665","870","1/Jun/12",""
"Cereals","Rice","Organic","glutinous (or sticky) red; paddy","Thailand","SPO","EXW","THB/MT","15665","870","23/Mar/16",""
"Cereals","Rice","Organic","glutinous (or sticky) violet; paddy","Thailand","SPO","EXW","THB/MT","15665","870","1/Jun/12",""
"Cereals","Rice","Organic","glutinous (or sticky) white; paddy","Thailand","SPO","EXW","THB/MT","13054","870","1/Jun/12",""
"Cereals","Rice","Organic","Non-Basmati and non-Sarbati; paddy","India","SPO / CP","EXW","EUR/MT","197","27","1/Jan/20",""
"Cereals","Rice","Organic","Non-Basmati and non-Sarbati; paddy","Pakistan","SPO","EXW","EUR/MT","197","27","1/Jan/20",""
"Cereals","Rice","Organic","non-glutinous black; paddy","Thailand","SPO","EXW","THB/MT","15665","870","23/Mar/16",""
"Cereals","Rice","Organic","non-glutinous red; paddy","Thailand","SPO","EXW","THB/MT","15665","870","1/Jun/12",""
"Cereals","Rice","Organic","Sakha; paddy","Egypt","SPO","EXW","EUR/MT","152","15","26/Jan/04",""
"Cereals","Rice","Organic","Sarbati; paddy","India","SPO / CP","EXW","EUR/MT","198","23","1/Feb/15",""
"Cereals","Rice","Organic","Thai Hom Mali (Jasmine); paddy","Thailand","SPO","EXW","THB/MT","15665","870","1/Jun/12",""
"Cereals","Rice","Organic","Thai long grain; paddy","Thailand","SPO","EXW","THB/MT","10182","870","1/Jun/12",""
"Cereals","Rice","Organic","traditional varieties Sri Lanka; paddy","Sri Lanka","SPO","EXW","LKR/kg","41.4","2.5","11/Dec/09",""
"Cereals","Sorghum","Conventional","dried grain","Worldwide","SPO","EXW","-","Commercial price","15% of the commercial price","21/Nov/18",""
"Cereals","Sorghum","Organic","dried grain","Worldwide","SPO","EXW","-","Commercial price","15% of the commercial price","21/Nov/18",""
"Cocoa","Cocoa","Conventional","Beans","Pacific","CP","FOB","USD/MT","2400","240","1/Oct/19",""
"Cocoa","Cocoa","Conventional","Beans","Worldwide","SPO","FOB","USD/MT","2400","240","1/Oct/19",""
"Cocoa","Cocoa","Conventional","Butter","Pacific","CP","EXW","USD/MT","Commercial price","479","1/Feb/20",""
"Cocoa","Cocoa","Conventional","Butter","Pacific","CP","FOB","USD/MT","refer to formula in product standards","530","From 01/10/2012 to 31/01/2020","refer to formula in product standards"
"Cocoa","Cocoa","Conventional","Butter","Worldwide","SPO","EXW","USD/MT","Commercial price","479","1/Feb/20",""
"Cocoa","Cocoa","Conventional","Butter","Worldwide","SPO","FOB","USD/MT","refer to formula in product standards","530","From 01/10/2012 to 31/01/2020","refer to formula in product standards"
"Cocoa","Cocoa","Conventional","Butter and powder","Pacific","CP","FOB","USD/MT","refer to formula in product standards","250","From 01/10/2012 to 31/01/2020","refer to formula in product standards"
"Cocoa","Cocoa","Conventional","Butter and powder","Worldwide","SPO","FOB","USD/MT","refer to formula in product standards","250","From 01/10/2012 to 31/01/2020","refer to formula in product standards"
"Cocoa","Cocoa","Conventional","Liquor","Pacific","CP","EXW","USD/MT","2688","300","1/Feb/20","The final price paid to SPOs should take into account individual processing and exports costs when applicable. For more information, please see Cocoa standard requirement 4.2.5."
"Cocoa","Cocoa","Conventional","Liquor","Pacific","CP","FOB","USD/MT","refer to formula in product standards","250","From 01/10/2012 to 31/01/2020","refer to formula in product standards"
"Cocoa","Cocoa","Conventional","Liquor","Worldwide","SPO","EXW","USD/MT","2688","300","1/Feb/20","The final price paid to SPOs should take into account individual processing and exports costs when applicable. For more information, please see Cocoa standard requirement 4.2.5."
"Cocoa","Cocoa","Conventional","Liquor","Worldwide","SPO","FOB","USD/MT","refer to formula in product standards","250","From 01/10/2012 to 31/01/2020","refer to formula in product standards"
"Cocoa","Cocoa","Conventional","Powder","Pacific","CP","EXW","USD/MT","Commercial price","425","1/Feb/20",""
"Cocoa","Cocoa","Conventional","Powder","Pacific","CP","FOB","USD/MT","refer to formula in product standards","470","From 01/10/2012 to 31/01/2020","refer to formula in product standards"
"Cocoa","Cocoa","Conventional","Powder","Worldwide","SPO","EXW","USD/MT","Commercial price","425","1/Feb/20",""
"Cocoa","Cocoa","Conventional","Powder","Worldwide","SPO","FOB","USD/MT","refer to formula in product standards","470","From 01/10/2012 to 31/01/2020","refer to formula in product standards"
"Cocoa","Cocoa","Organic","Beans","Pacific","CP","FOB","USD/MT","Organic differential: +300","240","1/Oct/19",""
"Cocoa","Cocoa","Organic","Beans","Worldwide","SPO","FOB","USD/MT","Organic differential: +300","240","1/Oct/19",""
"Cocoa","Cocoa","Organic","Butter","Pacific","CP","EXW","USD/MT","organic differential +375","479","1/Feb/20","Fairtrade organic differential is the lowest possible differential that producers must receive in addition to the Fairtrade Minimum Price or market price, whichever is higher"
"Cocoa","Cocoa","Organic","Butter","Pacific","CP","FOB","USD/MT","refer to formula in product standards","530","From 01/10/2012 to 31/01/2020","refer to formula in product standards"
"Cocoa","Cocoa","Organic","Butter","Worldwide","SPO","EXW","USD/MT","organic differential +375","479","1/Feb/20","Fairtrade organic differential is the lowest possible differential that producers must receive in addition to the Fairtrade Minimum Price or market price, whichever is higher"
"Cocoa","Cocoa","Organic","Butter","Worldwide","SPO","FOB","USD/MT","refer to formula in product standards","530","From 01/10/2012 to 31/01/2020","refer to formula in product standards"
"Cocoa","Cocoa","Organic","Butter and powder","Pacific","CP","FOB","USD/MT","refer to formula in product standards","250","From 01/10/2012 to 31/01/2020","refer to formula in product standards"
"Cocoa","Cocoa","Organic","Butter and powder","Worldwide","SPO","FOB","USD/MT","refer to formula in product standards","250","From 01/10/2012 to 31/01/2020","refer to formula in product standards"
"Cocoa","Cocoa","Organic","Liquor","Pacific","CP","EXW","USD/MT","organic differential +375","300","1/Feb/20","Fairtrade organic differential is the lowest possible differential that producers must receive in addition to the Fairtrade Minimum Price or market price, whichever is higher"
"Cocoa","Cocoa","Organic","Liquor","Pacific","CP","FOB","USD/MT","refer to formula in product standards","250","From 01/10/2012 to 31/01/2020","refer to formula in product standards"
"Cocoa","Cocoa","Organic","Liquor","Worldwide","SPO","EXW","USD/MT","organic differential +375","300","1/Feb/20","Fairtrade organic differential is the lowest possible differential that producers must receive in addition to the Fairtrade Minimum Price or market price, whichever is higher"
"Cocoa","Cocoa","Organic","Liquor","Worldwide","SPO","FOB","USD/MT","refer to formula in product standards","250","From 01/10/2012 to 31/01/2020","refer to formula in product standards"
"Cocoa","Cocoa","Organic","Powder","Pacific","CP","EXW","USD/MT","organic differential +375","425","1/Feb/20","Fairtrade organic differential is the lowest possible differential that producers must receive in addition to the Fairtrade Minimum Price or market price, whichever is higher"
"Cocoa","Cocoa","Organic","Powder","Pacific","CP","FOB","USD/1MT","refer to formula in product standards","470","From 01/10/2012 to 31/01/2020","refer to formula in product standards"
"Cocoa","Cocoa","Organic","Powder","Worldwide","SPO","EXW","USD/MT","organic differential +375","425","1/Feb/20","Fairtrade organic differential is the lowest possible differential that producers must receive in addition to the Fairtrade Minimum Price or market price, whichever is higher"
"Cocoa","Cocoa","Organic","Powder","Worldwide","SPO","FOB","USD/MT","refer to formula in product standards","470","From 01/10/2012 to 31/01/2020","refer to formula in product standards"
"Coffee","Coffee","Conventional","Arabica; Natural","Worldwide","SPO","FOB","USD/pound","1.35","0.2","1/Apr/11","at least 0.05 of the FP to be used for productivity/quality"
"Coffee","Coffee","Conventional","Arabica; Washed","Worldwide","SPO","FOB","USD/pound","1.4","0.2","1/Apr/11","at least 0.05 of the FP to be used for productivity/quality"
"Coffee","Coffee","Conventional","Robusta; Natural","Worldwide","SPO","FOB","USD/pound","1.01","0.2","1/Apr/11","at least 0.05 of the FP to be used for productivity/quality"
"Coffee","Coffee","Conventional","Robusta; Washed","Worldwide","SPO","FOB","USD/pound","1.05","0.2","1/Apr/11","at least 0.05 of the FP to be used for productivity/quality"
"Coffee","Coffee","Organic","Arabica; Natural","Worldwide","SPO","FOB","USD/pound","Organic differential: +0.30","0.2","1/Apr/11","Organic differential: +0.30"
"Coffee","Coffee","Organic","Arabica; Washed","Worldwide","SPO","FOB","USD/pound","Organic differential: +0.30","0.2","1/Apr/11","Organic differential: +0.30"
"Coffee","Coffee","Organic","Robusta; Natural","Worldwide","SPO","FOB","USD/pound","Organic differential: +0.30","0.2","1/Apr/11","Organic differential: +0.30"
"Coffee","Coffee","Organic","Robusta; Washed","Worldwide","SPO","FOB","USD/pound","Organic differential: +0.30","0.2","1/Apr/11","Organic differential: +0.30"
"Fairtrade Climate Standard","Fairtrade carbon credit","","Afforestation/reforestation project","Worldwide","FCC producer organization","Issued FCCs","EUR/tCO2e","13","1.5","1/Jan/16",""
"Fairtrade Climate Standard","Fairtrade carbon credit","","Energy efficiency project","Worldwide","FCC producer organization","Issued FCCs","EUR/tCO2e","8.2","1","1/Jan/16",""
"Fairtrade Climate Standard","Fairtrade carbon credit","","Renewable energy project","Worldwide","FCC producer organization","Issued FCCs","EUR/tCO2e","8.1","1","1/Jan/16",""
"Fibre crops","Seed Cotton","Conventional","Gossypium barbadense","Central America and Mexico","SPO","EXW","EUR/kg","0.49","0.05","15/Oct/11","e.g. Giza; PIMA"
"Fibre crops","Seed Cotton","Conventional","Gossypium barbadense","Eastern Africa and Malawi","SPO","EXW","EUR/kg","0.48","0.05","15/Oct/11","e.g. Giza; PIMA"
"Fibre crops","Seed Cotton","Conventional","Gossypium barbadense","Kyrgyzstan","SPO","EXW","EUR/kg","0.55","0.05","15/Oct/11","e.g. Giza; PIMA"
"Fibre crops","Seed Cotton","Conventional","Gossypium barbadense","Northern Africa","SPO","EXW","EUR/kg","0.48","0.05","15/Oct/11","e.g. Giza; PIMA"
"Fibre crops","Seed Cotton","Conventional","Gossypium barbadense","South America","SPO","EXW","EUR/kg","0.49","0.05","15/Oct/11","e.g. Giza; PIMA"
"Fibre crops","Seed Cotton","Conventional","Gossypium barbadense","Southern Asia","SPO / CP","EXW","EUR/kg","0.53","0.05","15/Oct/11","e.g. Giza; PIMA"
"Fibre crops","Seed Cotton","Conventional","Gossypium barbadense","Tajikistan","SPO","EXW","EUR/kg","0.55","0.05","27/Oct/14","e.g. Giza; PIMA"
"Fibre crops","Seed Cotton","Conventional","Gossypium barbadense","Western Africa","SPO","EXW","EUR/kg","0.5","0.05","15/Oct/11","e.g. Giza; PIMA"
"Fibre crops","Seed Cotton","Conventional","Gossypium hirsutum; herbaceum; arboreum; staple length of 24.5 mm and shorter.","Southern Asia","SPO / CP","EXW","EUR/kg","0.39","0.05","15/Oct/11",""
"Fibre crops","Seed Cotton","Conventional","Gossypium hirsutum; herbaceum; arboreum; staple length of 25 mm and longer.","Southern Asia","SPO / CP","EXW","EUR/kg","0.44","0.05","15/Oct/11",""
"Fibre crops","Seed Cotton","Conventional","Gossypium hirsutum; herbaceum; arboreum","Central America and Mexico","SPO","EXW","EUR/kg","0.41","0.05","15/Oct/11",""
"Fibre crops","Seed Cotton","Conventional","Gossypium hirsutum; herbaceum; arboreum","Eastern Africa and Malawi","SPO","EXW","EUR/kg","0.4","0.05","15/Oct/11",""
"Fibre crops","Seed Cotton","Conventional","Gossypium hirsutum; herbaceum; arboreum","Kyrgyzstan","SPO","EXW","EUR/kg","0.46","0.05","15/Oct/11",""
"Fibre crops","Seed Cotton","Conventional","Gossypium hirsutum; herbaceum; arboreum","Northern Africa","SPO","EXW","EUR/kg","0.4","0.05","15/Oct/11",""
"Fibre crops","Seed Cotton","Conventional","Gossypium hirsutum; herbaceum; arboreum","South America","SPO","EXW","EUR/kg","0.41","0.05","15/Oct/11",""
"Fibre crops","Seed Cotton","Conventional","Gossypium hirsutum; herbaceum; arboreum","Tajikistan","SPO","EXW","EUR/kg","0.46","0.05","27/Oct/14",""
"Fibre crops","Seed Cotton","Conventional","Gossypium hirsutum; herbaceum; arboreum","Western Africa","SPO","EXW","EUR/kg","0.42","0.05","15/Oct/11",""
"Fibre crops","Seed Cotton","Organic","Gossypium barbadense","Central America and Mexico","SPO","EXW","EUR/kg","0.59","0.05","15/Oct/11","e.g. Giza; PIMA"
"Fibre crops","Seed Cotton","Organic","Gossypium barbadense","Eastern Africa and Malawi","SPO","EXW","EUR/kg","0.58","0.05","15/Oct/11","e.g. Giza; PIMA"
"Fibre crops","Seed Cotton","Organic","Gossypium barbadense","Kyrgyzstan","SPO","EXW","EUR/kg","0.66","0.05","15/Oct/11","e.g. Giza; PIMA"
"Fibre crops","Seed Cotton","Organic","Gossypium barbadense","Northern Africa","SPO","EXW","EUR/kg","0.58","0.05","15/Oct/11","e.g. Giza; PIMA"
"Fibre crops","Seed Cotton","Organic","Gossypium barbadense","South America","SPO","EXW","EUR/kg","0.59","0.05","15/Oct/11","e.g. Giza; PIMA"
"Fibre crops","Seed Cotton","Organic","Gossypium barbadense","Southern Asia","SPO / CP","EXW","EUR/kg","0.64","0.05","15/Oct/11","e.g. Giza; PIMA"
"Fibre crops","Seed Cotton","Organic","Gossypium barbadense","Tajikistan","SPO","EXW","EUR/kg","0.66","0.05","27/Oct/14","e.g. Giza; PIMA"
"Fibre crops","Seed Cotton","Organic","Gossypium barbadense","Western Africa","SPO","EXW","EUR/kg","0.6","0.05","15/Oct/11","e.g. Giza; PIMA"
"Fibre crops","Seed Cotton","Organic","Gossypium hirsutum; herbaceum; arboreum; staple length of 24.5 mm and shorter.","Southern Asia","SPO / CP","EXW","EUR/kg","0.47","0.05","15/Oct/11",""
"Fibre crops","Seed Cotton","Organic","Gossypium hirsutum; herbaceum; arboreum; staple length of 25 mm and longer.","Southern Asia","SPO / CP","EXW","EUR/kg","0.53","0.05","15/Oct/11",""
"Fibre crops","Seed Cotton","Organic","Gossypium hirsutum; herbaceum; arboreum","Central America and Mexico","SPO","EXW","EUR/kg","0.49","0.05","15/Oct/11",""
"Fibre crops","Seed Cotton","Organic","Gossypium hirsutum; herbaceum; arboreum","Eastern Africa and Malawi","SPO","EXW","EUR/kg","0.48","0.05","15/Oct/11",""
"Fibre crops","Seed Cotton","Organic","Gossypium hirsutum; herbaceum; arboreum","Kyrgyzstan","SPO","EXW","EUR/kg","0.55","0.05","15/Oct/11",""
"Fibre crops","Seed Cotton","Organic","Gossypium hirsutum; herbaceum; arboreum","Northern Africa","SPO","EXW","EUR/kg","0.48","0.05","15/Oct/11",""
"Fibre crops","Seed Cotton","Organic","Gossypium hirsutum; herbaceum; arboreum","South America","SPO","EXW","EUR/kg","0.49","0.05","15/Oct/11",""
"Fibre crops","Seed Cotton","Organic","Gossypium hirsutum; herbaceum; arboreum","Tajikistan","SPO","EXW","EUR/kg","0.55","0.05","27/Oct/14",""
"Fibre crops","Seed Cotton","Organic","Gossypium hirsutum; herbaceum; arboreum","Western Africa","SPO","EXW","EUR/kg","0.5","0.05","15/Oct/11",""
"Flowers and Plants","Cut Flowers","Conventional","single stem flowers","Worldwide","HL","FOB","-","Commercial price","10% of the commercial price","31/Oct/08",""
"Flowers and Plants","Cut Flowers and Cut Foliage","Conventional","Bouquets","Worldwide","HL","FOB","-","Commercial price","10% of the commercial price","31/Oct/08",""
"Flowers and Plants","Cut Flowers or Cut foliage","Conventional","Bunches","Worldwide","HL","FOB","-","Commercial price","10% of the commercial price","31/Oct/08",""
"Flowers and Plants","Ornamental Plants","Conventional","Pot plants; bedding plants and bulbs","Worldwide","HL","FOB","-","Commercial price","10% of the commercial price","31/Oct/08",""
"Flowers and Plants","Young plant material for plants","Conventional","","Worldwide","HL","FOB","-","Commercial price","10% of the commercial price","31/Oct/14",""
"Fresh Fruit","Acai","Conventional","for drying","Worldwide","SPO","EXW","USD/14 kg","Commercial price","0.73","1/Nov/10",""
